ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source
13628,Corn Belt,Illinois,1982,"Farmsteads, roads, and miscellaneous farmland",337,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13629,Corn Belt,Iowa,1982,"Farmsteads, roads, and miscellaneous farmland",419,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13630,Corn Belt,Missouri,1982,"Farmsteads, roads, and miscellaneous farmland",381,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13631,Northern Plains total,Northern Plains,1982,"Farmsteads, roads, and miscellaneous farmland",992,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13632,Northern Plains,North Dakota,1982,"Farmsteads, roads, and miscellaneous farmland",214,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13633,Northern Plains,South Dakota,1982,"Farmsteads, roads, and miscellaneous farmland",185,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13634,Northern Plains,Nebraska,1982,"Farmsteads, roads, and miscellaneous farmland",273,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13635,Northern Plains,Kansas,1982,"Farmsteads, roads, and miscellaneous farmland",320,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13636,Appalachian total,Appalachian,1982,"Farmsteads, roads, and miscellaneous farmland",845,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13637,Appalachian,Virginia,1982,"Farmsteads, roads, and miscellaneous farmland",163,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13638,Appalachian,West Virginia,1982,"Farmsteads, roads, and miscellaneous farmland",139,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13639,Appalachian,North Carolina,1982,"Farmsteads, roads, and miscellaneous farmland",176,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13640,Appalachian,Kentucky,1982,"Farmsteads, roads, and miscellaneous farmland",197,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13641,Appalachian,Tennessee,1982,"Farmsteads, roads, and miscellaneous farmland",170,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13642,Southeast total,Southeast,1982,"Farmsteads, roads, and miscellaneous farmland",481,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13643,Southeast,South Carolina,1982,"Farmsteads, roads, and miscellaneous farmland",90,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13644,Southeast,Georgia,1982,"Farmsteads, roads, and miscellaneous farmland",117,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13645,Southeast,Florida,1982,"Farmsteads, roads, and miscellaneous farmland",113,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13646,Southeast,Alabama,1982,"Farmsteads, roads, and miscellaneous farmland",161,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13647,Delta States total,Delta States,1982,"Farmsteads, roads, and miscellaneous farmland",571,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13648,Delta States,Mississippi,1982,"Farmsteads, roads, and miscellaneous farmland",200,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13649,Delta States,Arkansas,1982,"Farmsteads, roads, and miscellaneous farmland",195,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13650,Delta States,Louisiana,1982,"Farmsteads, roads, and miscellaneous farmland",176,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13651,Southern Plains total,Southern Plains,1982,"Farmsteads, roads, and miscellaneous farmland",1062,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13652,Southern Plains,Oklahoma,1982,"Farmsteads, roads, and miscellaneous farmland",263,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13653,Southern Plains,Texas,1982,"Farmsteads, roads, and miscellaneous farmland",799,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13654,Mountain total,Mountain,1982,"Farmsteads, roads, and miscellaneous farmland",641,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13655,Mountain,Montana,1982,"Farmsteads, roads, and miscellaneous farmland",133,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13656,Mountain,Idaho,1982,"Farmsteads, roads, and miscellaneous farmland",102,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13657,Mountain,Wyoming,1982,"Farmsteads, roads, and miscellaneous farmland",44,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13658,Mountain,Colorado,1982,"Farmsteads, roads, and miscellaneous farmland",119,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13659,Mountain,New Mexico,1982,"Farmsteads, roads, and miscellaneous farmland",50,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13660,Mountain,Arizona,1982,"Farmsteads, roads, and miscellaneous farmland",42,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13661,Mountain,Utah,1982,"Farmsteads, roads, and miscellaneous farmland",51,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13662,Mountain,Nevada,1982,"Farmsteads, roads, and miscellaneous farmland",100,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13663,Pacific total,Pacific,1982,"Farmsteads, roads, and miscellaneous farmland",548,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13664,Pacific,Washington,1982,"Farmsteads, roads, and miscellaneous farmland",128,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13665,Pacific,Oregon,1982,"Farmsteads, roads, and miscellaneous farmland",121,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13666,Pacific,California,1982,"Farmsteads, roads, and miscellaneous farmland",299,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13667,48 States,48 States,1982,"Farmsteads, roads, and miscellaneous farmland",8012,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13668,AK and HI,Alaska,1982,"Farmsteads, roads, and miscellaneous farmland",2,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13669,AK and HI,Hawaii,1982,"Farmsteads, roads, and miscellaneous farmland",21,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13670,U.S. total,U.S. total,1982,"Farmsteads, roads, and miscellaneous farmland",8035,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13671,Northeast total,Northeast,1987,"Farmsteads, roads, and miscellaneous farmland",323,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13672,Northeast,Maine,1987,"Farmsteads, roads, and miscellaneous farmland",16,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13673,Northeast,New Hampshire,1987,"Farmsteads, roads, and miscellaneous farmland",6,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13674,Northeast,Vermont,1987,"Farmsteads, roads, and miscellaneous farmland",14,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13675,Northeast,Massachusetts,1987,"Farmsteads, roads, and miscellaneous farmland",14,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13676,Northeast,Rhode Island,1987,"Farmsteads, roads, and miscellaneous farmland",2,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13677,Northeast,Connecticut,1987,"Farmsteads, roads, and miscellaneous farmland",8,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13678,Northeast,New York,1987,"Farmsteads, roads, and miscellaneous farmland",97,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13679,Northeast,New Jersey,1987,"Farmsteads, roads, and miscellaneous farmland",19,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13680,Northeast,Pennsylvania,1987,"Farmsteads, roads, and miscellaneous farmland",112,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13681,Northeast,Delaware,1987,"Farmsteads, roads, and miscellaneous farmland",7,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13682,Northeast,Maryland,1987,"Farmsteads, roads, and miscellaneous farmland",28,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13683,Northeast,District of Columbia,1987,"Farmsteads, roads, and miscellaneous farmland",0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13684,Lake States total,Lake States,1987,"Farmsteads, roads, and miscellaneous farmland",739,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13685,Lake States,Michigan,1987,"Farmsteads, roads, and miscellaneous farmland",173,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13686,Lake States,Wisconsin,1987,"Farmsteads, roads, and miscellaneous farmland",256,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13687,Lake States,Minnesota,1987,"Farmsteads, roads, and miscellaneous farmland",310,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13688,Corn Belt total,Corn Belt,1987,"Farmsteads, roads, and miscellaneous farmland",1505,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13689,Corn Belt,Ohio,1987,"Farmsteads, roads, and miscellaneous farmland",255,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13690,Corn Belt,Indiana,1987,"Farmsteads, roads, and miscellaneous farmland",230,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13691,Corn Belt,Illinois,1987,"Farmsteads, roads, and miscellaneous farmland",294,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13692,Corn Belt,Iowa,1987,"Farmsteads, roads, and miscellaneous farmland",368,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13693,Corn Belt,Missouri,1987,"Farmsteads, roads, and miscellaneous farmland",358,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13694,Northern Plains total,Northern Plains,1987,"Farmsteads, roads, and miscellaneous farmland",906,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13695,Northern Plains,North Dakota,1987,"Farmsteads, roads, and miscellaneous farmland",192,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13696,Northern Plains,South Dakota,1987,"Farmsteads, roads, and miscellaneous farmland",176,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13697,Northern Plains,Nebraska,1987,"Farmsteads, roads, and miscellaneous farmland",252,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13698,Northern Plains,Kansas,1987,"Farmsteads, roads, and miscellaneous farmland",286,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13699,Appalachian total,Appalachian,1987,"Farmsteads, roads, and miscellaneous farmland",674,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13700,Appalachian,Virginia,1987,"Farmsteads, roads, and miscellaneous farmland",141,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13701,Appalachian,West Virginia,1987,"Farmsteads, roads, and miscellaneous farmland",64,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13702,Appalachian,North Carolina,1987,"Farmsteads, roads, and miscellaneous farmland",144,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13703,Appalachian,Kentucky,1987,"Farmsteads, roads, and miscellaneous farmland",177,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13704,Appalachian,Tennessee,1987,"Farmsteads, roads, and miscellaneous farmland",148,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13705,Southeast total,Southeast,1987,"Farmsteads, roads, and miscellaneous farmland",453,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13706,Southeast,South Carolina,1987,"Farmsteads, roads, and miscellaneous farmland",84,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13707,Southeast,Georgia,1987,"Farmsteads, roads, and miscellaneous farmland",103,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13708,Southeast,Florida,1987,"Farmsteads, roads, and miscellaneous farmland",112,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13709,Southeast,Alabama,1987,"Farmsteads, roads, and miscellaneous farmland",154,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13710,Delta States total,Delta States,1987,"Farmsteads, roads, and miscellaneous farmland",494,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13711,Delta States,Mississippi,1987,"Farmsteads, roads, and miscellaneous farmland",182,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13712,Delta States,Arkansas,1987,"Farmsteads, roads, and miscellaneous farmland",183,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13713,Delta States,Louisiana,1987,"Farmsteads, roads, and miscellaneous farmland",129,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13714,Southern Plains total,Southern Plains,1987,"Farmsteads, roads, and miscellaneous farmland",921,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13715,Southern Plains,Oklahoma,1987,"Farmsteads, roads, and miscellaneous farmland",250,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13716,Southern Plains,Texas,1987,"Farmsteads, roads, and miscellaneous farmland",671,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13717,Mountain total,Mountain,1987,"Farmsteads, roads, and miscellaneous farmland",566,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13718,Mountain,Montana,1987,"Farmsteads, roads, and miscellaneous farmland",126,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13719,Mountain,Idaho,1987,"Farmsteads, roads, and miscellaneous farmland",98,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13720,Mountain,Wyoming,1987,"Farmsteads, roads, and miscellaneous farmland",50,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13721,Mountain,Colorado,1987,"Farmsteads, roads, and miscellaneous farmland",118,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13722,Mountain,New Mexico,1987,"Farmsteads, roads, and miscellaneous farmland",53,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13723,Mountain,Arizona,1987,"Farmsteads, roads, and miscellaneous farmland",41,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13724,Mountain,Utah,1987,"Farmsteads, roads, and miscellaneous farmland",52,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13725,Mountain,Nevada,1987,"Farmsteads, roads, and miscellaneous farmland",28,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13726,Pacific total,Pacific,1987,"Farmsteads, roads, and miscellaneous farmland",524,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13727,Pacific,Washington,1987,"Farmsteads, roads, and miscellaneous farmland",119,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13728,Pacific,Oregon,1987,"Farmsteads, roads, and miscellaneous farmland",114,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13729,Pacific,California,1987,"Farmsteads, roads, and miscellaneous farmland",291,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13730,48 States,48 States,1987,"Farmsteads, roads, and miscellaneous farmland",7105,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13731,AK and HI,Alaska,1987,"Farmsteads, roads, and miscellaneous farmland",2,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13732,AK and HI,Hawaii,1987,"Farmsteads, roads, and miscellaneous farmland",21,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13733,U.S. total,U.S. total,1987,"Farmsteads, roads, and miscellaneous farmland",7128,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13734,Northeast total,Northeast,1992,"Farmsteads, roads, and miscellaneous farmland",278,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13735,Northeast,Maine,1992,"Farmsteads, roads, and miscellaneous farmland",14,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13736,Northeast,New Hampshire,1992,"Farmsteads, roads, and miscellaneous farmland",5,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13737,Northeast,Vermont,1992,"Farmsteads, roads, and miscellaneous farmland",12,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13738,Northeast,Massachusetts,1992,"Farmsteads, roads, and miscellaneous farmland",12,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13739,Northeast,Rhode Island,1992,"Farmsteads, roads, and miscellaneous farmland",1,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13740,Northeast,Connecticut,1992,"Farmsteads, roads, and miscellaneous farmland",7,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13741,Northeast,New York,1992,"Farmsteads, roads, and miscellaneous farmland",81,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13742,Northeast,New Jersey,1992,"Farmsteads, roads, and miscellaneous farmland",19,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13743,Northeast,Pennsylvania,1992,"Farmsteads, roads, and miscellaneous farmland",95,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13744,Northeast,Delaware,1992,"Farmsteads, roads, and miscellaneous farmland",6,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13745,Northeast,Maryland,1992,"Farmsteads, roads, and miscellaneous farmland",25,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13746,Northeast,District of Columbia,1992,"Farmsteads, roads, and miscellaneous farmland",0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13747,Lake States total,Lake States,1992,"Farmsteads, roads, and miscellaneous farmland",658,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13748,Lake States,Michigan,1992,"Farmsteads, roads, and miscellaneous farmland",155,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13749,Lake States,Wisconsin,1992,"Farmsteads, roads, and miscellaneous farmland",229,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13750,Lake States,Minnesota,1992,"Farmsteads, roads, and miscellaneous farmland",274,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13751,Corn Belt total,Corn Belt,1992,"Farmsteads, roads, and miscellaneous farmland",1340,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13752,Corn Belt,Ohio,1992,"Farmsteads, roads, and miscellaneous farmland",224,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13753,Corn Belt,Indiana,1992,"Farmsteads, roads, and miscellaneous farmland",201,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13754,Corn Belt,Illinois,1992,"Farmsteads, roads, and miscellaneous farmland",255,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13755,Corn Belt,Iowa,1992,"Farmsteads, roads, and miscellaneous farmland",337,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13756,Corn Belt,Missouri,1992,"Farmsteads, roads, and miscellaneous farmland",324,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13757,Northern Plains total,Northern Plains,1992,"Farmsteads, roads, and miscellaneous farmland",815,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13758,Northern Plains,North Dakota,1992,"Farmsteads, roads, and miscellaneous farmland",168,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13759,Northern Plains,South Dakota,1992,"Farmsteads, roads, and miscellaneous farmland",163,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13760,Northern Plains,Nebraska,1992,"Farmsteads, roads, and miscellaneous farmland",222,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13761,Northern Plains,Kansas,1992,"Farmsteads, roads, and miscellaneous farmland",263,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13762,Appalachian total,Appalachian,1992,"Farmsteads, roads, and miscellaneous farmland",567,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13763,Appalachian,Virginia,1992,"Farmsteads, roads, and miscellaneous farmland",99,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13764,Appalachian,West Virginia,1992,"Farmsteads, roads, and miscellaneous farmland",46,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13765,Appalachian,North Carolina,1992,"Farmsteads, roads, and miscellaneous farmland",122,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13766,Appalachian,Kentucky,1992,"Farmsteads, roads, and miscellaneous farmland",165,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13767,Appalachian,Tennessee,1992,"Farmsteads, roads, and miscellaneous farmland",134,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13768,Southeast total,Southeast,1992,"Farmsteads, roads, and miscellaneous farmland",362,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13769,Southeast,South Carolina,1992,"Farmsteads, roads, and miscellaneous farmland",61,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13770,Southeast,Georgia,1992,"Farmsteads, roads, and miscellaneous farmland",92,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13771,Southeast,Florida,1992,"Farmsteads, roads, and miscellaneous farmland",104,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13772,Southeast,Alabama,1992,"Farmsteads, roads, and miscellaneous farmland",105,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13773,Delta States total,Delta States,1992,"Farmsteads, roads, and miscellaneous farmland",382,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13774,Delta States,Mississippi,1992,"Farmsteads, roads, and miscellaneous farmland",139,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13775,Delta States,Arkansas,1992,"Farmsteads, roads, and miscellaneous farmland",137,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13776,Delta States,Louisiana,1992,"Farmsteads, roads, and miscellaneous farmland",107,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13777,Southern Plains total,Southern Plains,1992,"Farmsteads, roads, and miscellaneous farmland",797,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13778,Southern Plains,Oklahoma,1992,"Farmsteads, roads, and miscellaneous farmland",232,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13779,Southern Plains,Texas,1992,"Farmsteads, roads, and miscellaneous farmland",565,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13780,Mountain total,Mountain,1992,"Farmsteads, roads, and miscellaneous farmland",502,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13781,Mountain,Montana,1992,"Farmsteads, roads, and miscellaneous farmland",113,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13782,Mountain,Idaho,1992,"Farmsteads, roads, and miscellaneous farmland",82,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13783,Mountain,Wyoming,1992,"Farmsteads, roads, and miscellaneous farmland",41,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13784,Mountain,Colorado,1992,"Farmsteads, roads, and miscellaneous farmland",109,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13785,Mountain,New Mexico,1992,"Farmsteads, roads, and miscellaneous farmland",52,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13786,Mountain,Arizona,1992,"Farmsteads, roads, and miscellaneous farmland",35,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13787,Mountain,Utah,1992,"Farmsteads, roads, and miscellaneous farmland",48,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13788,Mountain,Nevada,1992,"Farmsteads, roads, and miscellaneous farmland",21,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13789,Pacific total,Pacific,1992,"Farmsteads, roads, and miscellaneous farmland",482,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13790,Pacific,Washington,1992,"Farmsteads, roads, and miscellaneous farmland",105,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13791,Pacific,Oregon,1992,"Farmsteads, roads, and miscellaneous farmland",106,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13792,Pacific,California,1992,"Farmsteads, roads, and miscellaneous farmland",271,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13793,48 States,48 States,1992,"Farmsteads, roads, and miscellaneous farmland",6183,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13794,AK and HI,Alaska,1992,"Farmsteads, roads, and miscellaneous farmland",2,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13795,AK and HI,Hawaii,1992,"Farmsteads, roads, and miscellaneous farmland",21,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13796,U.S. total,U.S. total,1992,"Farmsteads, roads, and miscellaneous farmland",6206,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13797,Northeast total,Northeast,1997,"Farmsteads, roads, and miscellaneous farmland",289,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13798,Northeast,Maine,1997,"Farmsteads, roads, and miscellaneous farmland",14,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13799,Northeast,New Hampshire,1997,"Farmsteads, roads, and miscellaneous farmland",7,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13800,Northeast,Vermont,1997,"Farmsteads, roads, and miscellaneous farmland",14,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13801,Northeast,Massachusetts,1997,"Farmsteads, roads, and miscellaneous farmland",13,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13802,Northeast,Rhode Island,1997,"Farmsteads, roads, and miscellaneous farmland",2,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
13803,Northeast,Connecticut,1997,"Farmsteads, roads, and miscellaneous farmland",8,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
